floor,building,num_strongest_APs,min_AP_strength,min_strong_overlap,gain_error
1,0,2,-90,2,7.5553
1,0,2,-90,3,7.5553
1,0,2,-90,4,7.5553
1,0,2,-90,5,7.5553
1,0,2,-90,6,7.5553
1,0,3,-90,2,1.4502
1,0,3,-90,3,7.5553
1,0,3,-90,4,7.5553
1,0,3,-90,5,7.5553
1,0,3,-90,6,7.5553
1,0,4,-90,2,1.4978
1,0,4,-90,3,1.3806
1,0,4,-90,4,7.5553
1,0,4,-90,5,7.5553
1,0,4,-90,6,7.5553
1,0,5,-90,2,1.9955
1,0,5,-90,3,1.7863
1,0,5,-90,4,1.3827
1,0,5,-90,5,7.5553
1,0,5,-90,6,7.5553
1,0,7,-90,2,2.5605
1,0,7,-90,3,2.1578
1,0,7,-90,4,1.7594
1,0,7,-90,5,1.8658
1,0,7,-90,6,2.0106
1,0,10,-90,2,2.3867
1,0,10,-90,3,2.3203
1,0,10,-90,4,2.428
1,0,10,-90,5,1.9922
1,0,10,-90,6,1.7552
1,0,2,-80,2,7.5553
1,0,2,-80,3,7.5553
1,0,2,-80,4,7.5553
1,0,2,-80,5,7.5553
1,0,2,-80,6,7.5553
1,0,3,-80,2,2.7614
1,0,3,-80,3,7.5553
1,0,3,-80,4,7.5553
1,0,3,-80,5,7.5553
1,0,3,-80,6,7.5553
1,0,4,-80,2,3.0125
1,0,4,-80,3,2.8324
1,0,4,-80,4,7.5553
1,0,4,-80,5,7.5553
1,0,4,-80,6,7.5553
1,0,5,-80,2,3.5165
1,0,5,-80,3,3.2712
1,0,5,-80,4,2.8497
1,0,5,-80,5,7.5553
1,0,5,-80,6,7.5553
1,0,7,-80,2,4.7411
1,0,7,-80,3,3.8882
1,0,7,-80,4,3.0139
1,0,7,-80,5,3.3342
1,0,7,-80,6,3.4077
1,0,10,-80,2,5.3162
1,0,10,-80,3,4.9664
1,0,10,-80,4,4.3925
1,0,10,-80,5,3.6543
1,0,10,-80,6,3.0808
1,0,2,-70,2,7.5553
1,0,2,-70,3,7.5553
1,0,2,-70,4,7.5553
1,0,2,-70,5,7.5553
1,0,2,-70,6,7.5553
1,0,3,-70,2,5.7816
1,0,3,-70,3,7.5553
1,0,3,-70,4,7.5553
1,0,3,-70,5,7.5553
1,0,3,-70,6,7.5553
1,0,4,-70,2,3.9202
1,0,4,-70,3,3.4234
1,0,4,-70,4,7.5553
1,0,4,-70,5,7.5553
1,0,4,-70,6,7.5553
1,0,5,-70,2,4.6448
1,0,5,-70,3,4.2494
1,0,5,-70,4,4.2673
