floor,building,prox_threshold,min_AP_overlap,gain_error
2,2,5,5,0.4424
2,2,7,1,0.84147
2,2,7,2,0.84147
2,2,7,3,0.84147
2,2,7,4,0.84147
2,2,7,5,0.84147
2,2,10,1,3.8297
2,2,10,2,3.8297
2,2,10,3,3.8297
2,2,10,4,3.8297
2,2,10,5,3.8297
3,2,2,1,18.344
3,2,2,2,18.344
3,2,2,3,18.344
3,2,2,4,18.344
3,2,2,5,18.344
3,2,3,1,18.344
3,2,3,2,18.344
3,2,3,3,18.344
3,2,3,4,18.344
3,2,3,5,18.344
3,2,4,1,17.878
3,2,4,2,17.878
3,2,4,3,17.878
3,2,4,4,17.878
3,2,4,5,17.878
3,2,5,1,15.86
3,2,5,2,15.86
3,2,5,3,15.86
3,2,5,4,15.86
3,2,5,5,15.86
3,2,7,1,15.563
3,2,7,2,15.563
3,2,7,3,15.563
3,2,7,4,15.563
3,2,7,5,15.563
3,2,10,1,22.53
3,2,10,2,22.53
3,2,10,3,22.53
3,2,10,4,22.53
3,2,10,5,22.53
-1,0,2,1,7.4875
-1,0,2,2,7.4875
-1,0,2,3,7.4875
-1,0,2,4,7.4875
-1,0,2,5,7.4875
-1,0,3,1,7.4875
-1,0,3,2,7.4875
-1,0,3,3,7.4875
-1,0,3,4,7.4875
-1,0,3,5,7.4875
-1,0,4,1,7.4875
-1,0,4,2,7.4875
-1,0,4,3,7.4875
-1,0,4,4,7.4875
-1,0,4,5,7.4875
-1,0,5,1,5.444
-1,0,5,2,5.444
-1,0,5,3,5.444
-1,0,5,4,5.444
-1,0,5,5,5.444
-1,0,7,1,5.5005
-1,0,7,2,5.5005
-1,0,7,3,5.5005
-1,0,7,4,5.5005
-1,0,7,5,5.5005
-1,0,10,1,4.9258
-1,0,10,2,4.9258
-1,0,10,3,4.9258
-1,0,10,4,4.9258
-1,0,10,5,4.9258
-1,1,2,1,47.54
-1,1,2,2,47.54
-1,1,2,3,47.54
-1,1,2,4,47.54
-1,1,2,5,47.54
-1,1,3,1,48.987
-1,1,3,2,48.987
-1,1,3,3,48.426
-1,1,3,4,48.426
-1,1,3,5,48.426
-1,1,4,1,56.489
-1,1,4,2,56.602
-1,1,4,3,56.583
-1,1,4,4,56.529
-1,1,4,5,56.591
-1,1,5,1,55.406
-1,1,5,2,55.255
-1,1,5,3,55.038
-1,1,5,4,54.56
-1,1,5,5,53.855
-1,1,7,1,74.958
-1,1,7,2,74.625
-1,1,7,3,74.263
-1,1,7,4,73.886
-1,1,7,5,73.194
-1,1,10,1,128.19
-1,1,10,2,127.72
-1,1,10,3,126.95
-1,1,10,4,125.91
-1,1,10,5,124.44
-1,2,2,1,94.913
-1,2,2,2,94.913
-1,2,2,3,94.913
-1,2,2,4,94.913
-1,2,2,5,94.913
-1,2,3,1,93.556
-1,2,3,2,93.556
-1,2,3,3,93.556
-1,2,3,4,93.556
-1,2,3,5,93.556
-1,2,4,1,91.949
-1,2,4,2,91.949
-1,2,4,3,91.949
-1,2,4,4,91.949
-1,2,4,5,91.949
-1,2,5,1,87.079
-1,2,5,2,87.079
-1,2,5,3,87.079
